source_package_key,package_name,internal_component_count,internal_lob_count,apps,platforms,downloads,versions
conda-forge/pymongo,pymongo,43,3,15,3,3881,3
conda-forge/s3fs,s3fs,41,3,15,3,3712,3
conda-forge/seaborn,seaborn,40,3,14,3,3543,3
conda-forge/statsmodels,statsmodels,38,2,13,3,3375,3
conda-forge/sympy,sympy,36,2,13,3,3206,3
conda-forge/networkx,networkx,34,2,12,3,3037,3
conda-forge/jupyterlab,jupyterlab,32,2,11,3,2868,3
conda-forge/dask,dask,27,3,,,,
conda-forge/distributed,distributed,26,3,,,,
conda-forge/xarray,xarray,25,3,,,,
conda-forge/netcdf4,netcdf4,24,3,,,,
conda-forge/zarr,zarr,23,3,,,,
conda-forge/fastparquet,fastparquet,22,3,,,,
conda-forge/opencv,opencv,21,2,,,,
conda-forge/scikit-image,scikit-image,21,2,,,,
conda-forge/imageio,imageio,20,2,,,,
conda-forge/tifffile,tifffile,19,2,,,,
conda-forge/plotly,plotly,18,2,,,,
conda-forge/bokeh,bokeh,17,2,,,,
conda-forge/notebook,notebook,16,1,,,,
conda-forge/ipython,ipython,16,1,,,,
conda-forge/ipykernel,ipykernel,15,1,,,,
conda-forge/nbconvert,nbconvert,14,1,,,,
conda-forge/pytorch,pytorch,9,2,,,,
conda-forge/torchvision,torchvision,8,2,,,,
conda-forge/tensorflow,tensorflow,8,2,,,,
conda-forge/keras,keras,8,2,,,,
conda-forge/transformers,transformers,8,2,,,,
conda-forge/tokenizers,tokenizers,8,2,,,,
conda-forge/datasets,datasets,8,1,,,,
conda-forge/onnx,onnx,7,1,,,,
conda-forge/xgboost,xgboost,7,1,,,,
conda-forge/lightgbm,lightgbm,7,1,,,,
conda-forge/catboost,catboost,7,1,,,,
conda-forge/shap,shap,7,1,,,,
conda-forge/igraph,igraph,7,1,,,,
conda-forge/nbformat,nbformat,6,1,,,,
conda-forge/papermill,papermill,6,1,,,,
conda-forge/voila,voila,6,1,,,,
conda-forge/sphinx,sphinx,6,1,,,,
conda-forge/mkdocs,mkdocs,6,1,,,,
conda-forge/typer,typer,6,1,,,,
conda-forge/hypothesis,hypothesis,5,1,,,,
conda-forge/aiohttp,aiohttp,5,1,,,,
conda-forge/websockets,websockets,5,1,,,,
conda-forge/grpcio,grpcio,5,1,,,,
conda-forge/protobuf,protobuf,5,1,,,,
conda-forge/apache-airflow,apache-airflow,5,1,,,,
conda-forge/prefect,prefect,4,1,,,,
conda-forge/great-expectations,great-expectations,4,1,,,,
conda-forge/idna,idna,258,9,122,4,80000,6
conda-forge/psutil,psutil,118,7,52,4,32000,5
conda-forge/tenacity,tenacity,96,6,43,4,24000,5
conda-forge/filelock,filelock,94,6,42,4,23000,5
conda-forge/orjson,orjson,72,5,31,4,15000,4
conda-forge/marshmallow,marshmallow,61,4,25,3,9500,4
conda-forge/cattrs,cattrs,44,3,16,3,4100,3
conda-forge/werkzeug,werkzeug,58,4,23,3,8600,4
conda-forge/tornado,tornado,49,3,19,3,6200,3
conda-forge/pyjwt,pyjwt,47,3,18,3,5800,3
conda-forge/authlib,authlib,22,2,9,3,2400,3
conda-forge/waitress,waitress,20,2,8,3,2100,3
conda-forge/bottle,bottle,12,1,,,,
conda-forge/falcon,falcon,11,1,,,,
conda-forge/pyramid,pyramid,10,1,,,,
conda-forge/quart,quart,9,1,,,,
conda-forge/hypercorn,hypercorn,9,1,,,,
conda-forge/sanic,sanic,8,1,,,,
conda-forge/litestar,litestar,7,1,,,,
conda-forge/twisted,twisted,14,2,,,,
conda-forge/wtforms,wtforms,10,1,,,,
conda-forge/flask-cors,flask-cors,13,1,,,,
conda-forge/scrapy,scrapy,7,1,,,,
conda-forge/polars,polars,30,2,12,3,3100,3
conda-forge/nltk,nltk,18,2,,,,
conda-forge/spacy,spacy,16,2,,,,
conda-forge/gensim,gensim,9,1,,,,
conda-forge/patsy,patsy,15,2,,,,
conda-forge/datashader,datashader,7,1,,,,
conda-forge/umap-learn,umap-learn,8,1,,,,
conda-forge/hdbscan,hdbscan,6,1,,,,
conda-forge/imbalanced-learn,imbalanced-learn,10,1,,,,
conda-forge/git,git,140,8,60,4,38000,4
conda-forge/nodejs,nodejs,52,4,20,3,7100,3
conda-forge/cmake,cmake,66,5,28,4,11000,4
conda-forge/ripgrep,ripgrep,21,2,,,,
conda-forge/ffmpeg,ffmpeg,19,2,,,,
conda-forge/libarchive,libarchive,37,3,,,,
conda-forge/sqlite,sqlite,124,8,55,4,34000,5
internal/internal-telemetry-sdk,internal-telemetry-sdk,64,5,27,3,9800,2
internal/internal-feature-flags,internal-feature-flags,48,4,20,3,7300,2
